D:\Veilpay\apps\consumer-app\src\hooks\useBalance.ts: line 135, col 15, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\hooks\useBalance.ts: line 142, col 15, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\hooks\useBalancePolling.ts: line 30, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\hooks\useBalancePolling.ts: line 59, col 12, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\hooks\useBalancePolling.ts: line 176, col 12, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\hooks\useBiometrics.ts: line 87, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\hooks\useBiometrics.ts: line 100, col 40, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\hooks\useBiometrics.ts: line 128, col 15, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\hooks\useBiometrics.ts: line 172, col 41, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\hooks\useBiometrics.ts: line 173, col 20, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\hooks\useBiometrics.ts: line 174, col 20, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\hooks\useBiometrics.ts: line 180, col 45, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
